datasetid,siteid,sitename,collectionunitid,collectionunit,handle,datasettype,sampleid,samplename,depth,altitude,geography,waterdepth_site,pH,pH_units,water_table_depth,water_table_depth_units
25963,2536,Tannersville Bog,18874,TA21,TANNER21,testate amoebae surface sample,266546,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.78,,34.5,cm
45071,9691,Ballyduff,31972,IR 8,BAL_IR7,testate amoebae surface sample,382655,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.15,Unit,8.0,cm
27187,1118,Keystone Iron Fen,19935,KS5,KS5,testate amoebae surface sample,272785,,,2881,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",,3.3,,30.0,cm
25964,2536,Tannersville Bog,18875,TA22,TANNER22,testate amoebae surface sample,266547,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.87,,27.0,cm
45072,9691,Ballyduff,31973,IR 9,BAL_IR8,testate amoebae surface sample,382656,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.2,Unit,2.0,cm
25965,2536,Tannersville Bog,18876,TA23,TANNER23,testate amoebae surface sample,266548,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.79,,22.0,cm
45073,9691,Ballyduff,31974,IR 10,BAL_IR9,testate amoebae surface sample,382657,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.2,Unit,3.0,cm
25966,2536,Tannersville Bog,18877,TA24,TANNER24,testate amoebae surface sample,266549,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.9,,25.5,cm
45074,9691,Ballyduff,31975,IR 11,BAL_IR10,testate amoebae surface sample,382658,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.1,Unit,1.0,cm
27189,1118,Keystone Iron Fen,19937,KS7,KS7,testate amoebae surface sample,272787,,,2881,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",,3.5,,1.0,cm
25967,2536,Tannersville Bog,18878,TA25,TANNER25,testate amoebae surface sample,266550,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.69,,26.0,cm
45075,9691,Ballyduff,31976,IR 13,BAL_IR11,testate amoebae surface sample,382659,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.25,Unit,16.0,cm
25968,2536,Tannersville Bog,18879,TA26,TANNER26,testate amoebae surface sample,266551,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.64,,31.5,cm
45076,9691,Ballyduff,31977,IR 14,BAL_IR12,testate amoebae surface sample,382660,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.2,Unit,15.0,cm
25969,2536,Tannersville Bog,18880,TA27,TANNER27,testate amoebae surface sample,266552,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.35,,16.5,cm
45077,9691,Ballyduff,31978,IR 15,BAL_IR13,testate amoebae surface sample,382661,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.15,Unit,5.0,cm
27191,1118,Keystone Iron Fen,19939,KS9,KS9,testate amoebae surface sample,272789,,,2881,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",,3.5,,25.0,cm
25970,2536,Tannersville Bog,18881,TA28,TANNER28,testate amoebae surface sample,266553,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.63,,-16.5,cm
45078,9691,Ballyduff,31979,IR 16,BAL_IR14,testate amoebae surface sample,382662,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.15,Unit,2.0,cm
25971,2536,Tannersville Bog,18882,TA29,TANNER29,testate amoebae surface sample,266554,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.31,,12.5,cm
45079,9691,Ballyduff,31980,IR 17,BAL_IR15,testate amoebae surface sample,382663,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.2,Unit,,
27616,2504,Splains Lake,20359,SGL2,SGL2,testate amoebae surface sample,273347,,,3167,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-107.08325,38.82933],[-107.07314,38.82933],[-107.07314,38.83395],[-107.08325,38.83395],[-107.08325,38.82933]]]}",,4.199999809,,11.0,cm
25972,2536,Tannersville Bog,18883,TA30,TANNER30,testate amoebae surface sample,266555,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.48,,11.0,cm
45080,9691,Ballyduff,31981,IR 18,BAL_IR16,testate amoebae surface sample,382664,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.1,Unit,-3.0,cm
25973,2536,Tannersville Bog,18884,TA31,TANNER31,testate amoebae surface sample,266556,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.35,,16.0,cm
27583,13528,South Rhody peatland,20326,SRB1,SRB1,testate amoebae surface sample,273314,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,4.2,,8.0,cm
27587,13528,South Rhody peatland,20330,SRB13,SRB13,testate amoebae surface sample,273318,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,4.0,,8.0,cm
25974,2536,Tannersville Bog,18885,TA33,TANNER33,testate amoebae surface sample,266557,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.33,,11.0,cm
27584,13528,South Rhody peatland,20327,SRB10,SRB10,testate amoebae surface sample,273315,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,3.9,,14.0,cm
27588,13528,South Rhody peatland,20331,SRB14,SRB14,testate amoebae surface sample,273319,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,3.9,,15.0,cm
27586,13528,South Rhody peatland,20329,SRB12,SRB12,testate amoebae surface sample,273317,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,4.0,,17.0,cm
25975,2536,Tannersville Bog,18886,TA34,TANNER34,testate amoebae surface sample,266558,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.35,,0.0,cm
27589,13528,South Rhody peatland,20332,SRB15,SRB15,testate amoebae surface sample,273320,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,4.1,,10.0,cm
27617,2504,Splains Lake,20360,SGL3,SGL3,testate amoebae surface sample,273348,,,3167,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-107.08325,38.82933],[-107.07314,38.82933],[-107.07314,38.83395],[-107.08325,38.83395],[-107.08325,38.82933]]]}",,3.900000095,,13.0,cm
27585,13528,South Rhody peatland,20328,SRB11,SRB11,testate amoebae surface sample,273316,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,4.1,,9.0,cm
25976,2536,Tannersville Bog,18887,TA35,TANNER35,testate amoebae surface sample,266559,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.37,,2.0,cm
27590,13528,South Rhody peatland,20333,SRB16,SRB16,testate amoebae surface sample,273321,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,4.1,,11.0,cm
25944,2536,Tannersville Bog,18855,TA1,TANNER1,testate amoebae surface sample,266527,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.3,,25.0,cm
