datasetid,datasettype,datasetname,siteid,sitename,collectionunitid,collectionunit,handle,unittype,geography,altitude,doi
25958,testate amoebae surface sample,,2536,Tannersville Bog,18869,TA16,TANNER16,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/4s6q-5e16
25959,testate amoebae surface sample,,2536,Tannersville Bog,18870,TA17,TANNER17,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/mj19-6436
25960,testate amoebae surface sample,,2536,Tannersville Bog,18871,TA18,TANNER18,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/rh35-wb59
25961,testate amoebae surface sample,,2536,Tannersville Bog,18872,TA19,TANNER19,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/efam-dx48
25962,testate amoebae surface sample,,2536,Tannersville Bog,18873,TA20,TANNER20,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/6j9w-d138
25963,testate amoebae surface sample,,2536,Tannersville Bog,18874,TA21,TANNER21,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/s9p2-a281
25964,testate amoebae surface sample,,2536,Tannersville Bog,18875,TA22,TANNER22,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/dg4y-5m39
25965,testate amoebae surface sample,,2536,Tannersville Bog,18876,TA23,TANNER23,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/a1cg-r451
25966,testate amoebae surface sample,,2536,Tannersville Bog,18877,TA24,TANNER24,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/9pqj-n819
25967,testate amoebae surface sample,,2536,Tannersville Bog,18878,TA25,TANNER25,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/07jw-hw27
25968,testate amoebae surface sample,,2536,Tannersville Bog,18879,TA26,TANNER26,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/psbe-6828
25969,testate amoebae surface sample,,2536,Tannersville Bog,18880,TA27,TANNER27,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/mx8a-v184
25970,testate amoebae surface sample,,2536,Tannersville Bog,18881,TA28,TANNER28,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/cbfj-wf80
25971,testate amoebae surface sample,,2536,Tannersville Bog,18882,TA29,TANNER29,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/ac6s-kn52
25972,testate amoebae surface sample,,2536,Tannersville Bog,18883,TA30,TANNER30,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/xset-xx91
25973,testate amoebae surface sample,,2536,Tannersville Bog,18884,TA31,TANNER31,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/sc3m-xr15
25974,testate amoebae surface sample,,2536,Tannersville Bog,18885,TA33,TANNER33,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/6yen-w371
25975,testate amoebae surface sample,,2536,Tannersville Bog,18886,TA34,TANNER34,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/4sck-c843
25976,testate amoebae surface sample,,2536,Tannersville Bog,18887,TA35,TANNER35,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/5557-cq87
25977,testate amoebae surface sample,,2536,Tannersville Bog,18888,TA36,TANNER36,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/mvyb-z086
25978,testate amoebae surface sample,,2536,Tannersville Bog,18889,TA37,TANNER37,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/8719-w002
25979,testate amoebae surface sample,,2536,Tannersville Bog,18890,TA38,TANNER38,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/322c-xw32
25980,testate amoebae surface sample,,2536,Tannersville Bog,18891,TA39,TANNER39,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/fxyb-kj51
25981,testate amoebae surface sample,,2536,Tannersville Bog,18892,TA40,TANNER40,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/a8b8-ng61
25982,testate amoebae surface sample,,2536,Tannersville Bog,18893,TA41,TANNER41,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/a66e-8c18
25983,testate amoebae surface sample,,2536,Tannersville Bog,18894,TA42,TANNER42,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/5jer-vx07
25984,testate amoebae surface sample,,2536,Tannersville Bog,18895,TA43,TANNER43,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/sern-0b88
25985,testate amoebae surface sample,,2536,Tannersville Bog,18896,TA44,TANNER44,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/ft96-0r35
